Time,Pack Amperage (Current)
Thu Oct 17 18:28:04 CST 2024,22.100000
Thu Oct 17 18:28:04 CST 2024,21.300000
Thu Oct 17 18:28:04 CST 2024,10.300000
Thu Oct 17 18:28:04 CST 2024,3.100000
Thu Oct 17 18:28:04 CST 2024,4.500000
Thu Oct 17 18:28:04 CST 2024,4.400000
Thu Oct 17 18:28:05 CST 2024,-1.400000
Thu Oct 17 18:28:05 CST 2024,-4.600000
Thu Oct 17 18:28:05 CST 2024,-4.100000
Thu Oct 17 18:28:05 CST 2024,-2.600000
Thu Oct 17 18:28:05 CST 2024,1.200000
Thu Oct 17 18:28:05 CST 2024,3.900000
Thu Oct 17 18:28:05 CST 2024,9.400000
Thu Oct 17 18:28:05 CST 2024,13.800000
Thu Oct 17 18:28:05 CST 2024,16.800000
Thu Oct 17 18:28:05 CST 2024,17.200000
Thu Oct 17 18:28:06 CST 2024,10.400000
Thu Oct 17 18:28:06 CST 2024,-3.400000
Thu Oct 17 18:28:06 CST 2024,-9.200000
Thu Oct 17 18:28:06 CST 2024,-11.500000
Thu Oct 17 18:28:06 CST 2024,-4.800000
Thu Oct 17 18:28:06 CST 2024,-0.100000
Thu Oct 17 18:28:06 CST 2024,7.600000
Thu Oct 17 18:28:06 CST 2024,10.300000
Thu Oct 17 18:28:06 CST 2024,11.100000
Thu Oct 17 18:28:06 CST 2024,11.700000
Thu Oct 17 18:28:07 CST 2024,12.200000
Thu Oct 17 18:28:07 CST 2024,12.700000
Thu Oct 17 18:28:07 CST 2024,13.500000
Thu Oct 17 18:28:07 CST 2024,13.000000
Thu Oct 17 18:28:07 CST 2024,11.500000
Thu Oct 17 18:28:07 CST 2024,11.100000
Thu Oct 17 18:28:07 CST 2024,10.300000
Thu Oct 17 18:28:07 CST 2024,9.600000
Thu Oct 17 18:28:07 CST 2024,9.200000
Thu Oct 17 18:28:07 CST 2024,9.600000
Thu Oct 17 18:28:08 CST 2024,9.800000
Thu Oct 17 18:28:08 CST 2024,9.700000
Thu Oct 17 18:28:08 CST 2024,9.400000
Thu Oct 17 18:28:08 CST 2024,7.400000
Thu Oct 17 18:28:08 CST 2024,3.400000
Thu Oct 17 18:28:08 CST 2024,3.400000
Thu Oct 17 18:28:08 CST 2024,2.800000
Thu Oct 17 18:28:08 CST 2024,2.500000
Thu Oct 17 18:28:08 CST 2024,2.500000
Thu Oct 17 18:28:08 CST 2024,2.200000
Thu Oct 17 18:28:09 CST 2024,2.300000
Thu Oct 17 18:28:09 CST 2024,2.100000
Thu Oct 17 18:28:09 CST 2024,2.200000
Thu Oct 17 18:28:09 CST 2024,2.400000
Thu Oct 17 18:28:09 CST 2024,2.000000
Thu Oct 17 18:28:09 CST 2024,2.100000
Thu Oct 17 18:28:09 CST 2024,2.200000
Thu Oct 17 18:28:09 CST 2024,1.900000
Thu Oct 17 18:28:09 CST 2024,1.700000
Thu Oct 17 18:28:09 CST 2024,1.800000
Thu Oct 17 18:28:10 CST 2024,1.600000
Thu Oct 17 18:28:10 CST 2024,1.700000
Thu Oct 17 18:28:10 CST 2024,1.600000
Thu Oct 17 18:28:10 CST 2024,1.500000
Thu Oct 17 18:28:10 CST 2024,1.500000
Thu Oct 17 18:28:10 CST 2024,1.400000
Thu Oct 17 18:28:10 CST 2024,1.500000
Thu Oct 17 18:28:10 CST 2024,1.500000
Thu Oct 17 18:28:10 CST 2024,2.500000
Thu Oct 17 18:28:10 CST 2024,4.000000
Thu Oct 17 18:28:11 CST 2024,4.700000
Thu Oct 17 18:28:11 CST 2024,5.400000
Thu Oct 17 18:28:11 CST 2024,5.700000
Thu Oct 17 18:28:11 CST 2024,6.300000
Thu Oct 17 18:28:11 CST 2024,6.600000
Thu Oct 17 18:28:11 CST 2024,4.500000
Thu Oct 17 18:28:11 CST 2024,3.000000
Thu Oct 17 18:28:11 CST 2024,2.600000
Thu Oct 17 18:28:11 CST 2024,1.600000
Thu Oct 17 18:28:12 CST 2024,2.100000
Thu Oct 17 18:28:12 CST 2024,1.400000
Thu Oct 17 18:28:12 CST 2024,1.400000
Thu Oct 17 18:28:12 CST 2024,1.400000
Thu Oct 17 18:28:12 CST 2024,0.700000
Thu Oct 17 18:28:12 CST 2024,0.700000
Thu Oct 17 18:28:12 CST 2024,0.600000
Thu Oct 17 18:28:12 CST 2024,0.700000
Thu Oct 17 18:28:12 CST 2024,0.700000
Thu Oct 17 18:28:12 CST 2024,0.700000
Thu Oct 17 18:28:13 CST 2024,0.700000
Thu Oct 17 18:28:13 CST 2024,0.600000
Thu Oct 17 18:28:13 CST 2024,0.600000
Thu Oct 17 18:28:13 CST 2024,0.600000
Thu Oct 17 18:28:13 CST 2024,0.600000
Thu Oct 17 18:28:13 CST 2024,1.000000
Thu Oct 17 18:28:13 CST 2024,1.600000
Thu Oct 17 18:28:13 CST 2024,2.500000
Thu Oct 17 18:28:13 CST 2024,3.900000
Thu Oct 17 18:28:13 CST 2024,7.800000
Thu Oct 17 18:28:14 CST 2024,11.900000
Thu Oct 17 18:28:14 CST 2024,19.100000
Thu Oct 17 18:28:14 CST 2024,23.200000
Thu Oct 17 18:28:14 CST 2024,25.700000
Thu Oct 17 18:28:14 CST 2024,28.300000
Thu Oct 17 18:28:14 CST 2024,30.700000
Thu Oct 17 18:28:14 CST 2024,31.200000
Thu Oct 17 18:28:14 CST 2024,31.000000
Thu Oct 17 18:28:14 CST 2024,25.000000
Thu Oct 17 18:28:14 CST 2024,19.900000
Thu Oct 17 18:28:15 CST 2024,19.000000
Thu Oct 17 18:28:15 CST 2024,19.400000
Thu Oct 17 18:28:15 CST 2024,19.600000
Thu Oct 17 18:28:15 CST 2024,19.600000
Thu Oct 17 18:28:15 CST 2024,19.800000
Thu Oct 17 18:28:15 CST 2024,19.400000
Thu Oct 17 18:28:15 CST 2024,19.300000
Thu Oct 17 18:28:15 CST 2024,18.400000
Thu Oct 17 18:28:15 CST 2024,17.900000
Thu Oct 17 18:28:15 CST 2024,15.400000
Thu Oct 17 18:28:16 CST 2024,11.900000
Thu Oct 17 18:28:16 CST 2024,11.000000
Thu Oct 17 18:28:16 CST 2024,10.300000
Thu Oct 17 18:28:16 CST 2024,8.600000
Thu Oct 17 18:28:16 CST 2024,2.500000
Thu Oct 17 18:28:16 CST 2024,1.300000
Thu Oct 17 18:28:16 CST 2024,-0.200000
Thu Oct 17 18:28:16 CST 2024,-1.600000
Thu Oct 17 18:28:16 CST 2024,-2.700000
Thu Oct 17 18:28:16 CST 2024,-4.000000
Thu Oct 17 18:28:17 CST 2024,-4.500000
Thu Oct 17 18:28:17 CST 2024,-3.500000
Thu Oct 17 18:28:17 CST 2024,-3.200000
Thu Oct 17 18:28:17 CST 2024,-3.100000
Thu Oct 17 18:28:17 CST 2024,-3.100000
Thu Oct 17 18:28:17 CST 2024,-3.000000
Thu Oct 17 18:28:17 CST 2024,-2.600000
Thu Oct 17 18:28:17 CST 2024,-2.800000
Thu Oct 17 18:28:17 CST 2024,-2.400000
Thu Oct 17 18:28:17 CST 2024,-2.300000
Thu Oct 17 18:28:18 CST 2024,-4.200000
Thu Oct 17 18:28:18 CST 2024,-4.300000
Thu Oct 17 18:28:18 CST 2024,5.400000
Thu Oct 17 18:28:18 CST 2024,14.400000
Thu Oct 17 18:28:18 CST 2024,16.500000
Thu Oct 17 18:28:18 CST 2024,17.900000
Thu Oct 17 18:28:18 CST 2024,19.000000
Thu Oct 17 18:28:18 CST 2024,12.000000
Thu Oct 17 18:28:18 CST 2024,0.500000
Thu Oct 17 18:28:19 CST 2024,0.900000
Thu Oct 17 18:28:19 CST 2024,1.600000
Thu Oct 17 18:28:19 CST 2024,1.600000
Thu Oct 17 18:28:19 CST 2024,1.900000
Thu Oct 17 18:28:19 CST 2024,6.000000
Thu Oct 17 18:28:19 CST 2024,9.300000
Thu Oct 17 18:28:19 CST 2024,10.100000
Thu Oct 17 18:28:19 CST 2024,7.800000
Thu Oct 17 18:28:19 CST 2024,6.300000
Thu Oct 17 18:28:19 CST 2024,4.400000
Thu Oct 17 18:28:20 CST 2024,2.000000
Thu Oct 17 18:28:20 CST 2024,0.800000
Thu Oct 17 18:28:20 CST 2024,0.200000
Thu Oct 17 18:28:20 CST 2024,0.000000
Thu Oct 17 18:28:20 CST 2024,-0.900000
Thu Oct 17 18:28:20 CST 2024,-0.600000
Thu Oct 17 18:28:20 CST 2024,0.000000
Thu Oct 17 18:28:20 CST 2024,0.100000
Thu Oct 17 18:28:20 CST 2024,0.300000
Thu Oct 17 18:28:20 CST 2024,-0.100000
Thu Oct 17 18:28:21 CST 2024,-0.400000
Thu Oct 17 18:28:21 CST 2024,-0.400000
Thu Oct 17 18:28:21 CST 2024,3.200000
Thu Oct 17 18:28:21 CST 2024,5.900000
Thu Oct 17 18:28:21 CST 2024,7.300000
Thu Oct 17 18:28:21 CST 2024,8.300000
Thu Oct 17 18:28:21 CST 2024,7.900000
Thu Oct 17 18:28:21 CST 2024,8.100000
Thu Oct 17 18:28:21 CST 2024,8.500000
Thu Oct 17 18:28:21 CST 2024,7.100000
Thu Oct 17 18:28:22 CST 2024,7.500000
Thu Oct 17 18:28:22 CST 2024,4.000000
Thu Oct 17 18:28:22 CST 2024,-0.100000
Thu Oct 17 18:28:22 CST 2024,-2.700000
Thu Oct 17 18:28:22 CST 2024,-2.600000
Thu Oct 17 18:28:22 CST 2024,-0.900000
Thu Oct 17 18:28:22 CST 2024,0.600000
Thu Oct 17 18:28:22 CST 2024,2.700000
Thu Oct 17 18:28:22 CST 2024,2.900000
Thu Oct 17 18:28:22 CST 2024,2.900000
Thu Oct 17 18:28:23 CST 2024,2.600000
Thu Oct 17 18:28:23 CST 2024,2.700000
Thu Oct 17 18:28:23 CST 2024,1.800000
Thu Oct 17 18:28:23 CST 2024,-0.300000
Thu Oct 17 18:28:23 CST 2024,-0.600000
Thu Oct 17 18:28:23 CST 2024,-0.400000
Thu Oct 17 18:28:23 CST 2024,0.400000
Thu Oct 17 18:28:23 CST 2024,0.400000
Thu Oct 17 18:28:23 CST 2024,0.500000
Thu Oct 17 18:28:23 CST 2024,0.400000
Thu Oct 17 18:28:24 CST 2024,0.500000
Thu Oct 17 18:28:24 CST 2024,0.400000
Thu Oct 17 18:28:24 CST 2024,0.200000
Thu Oct 17 18:28:24 CST 2024,0.000000
Thu Oct 17 18:28:24 CST 2024,0.100000
Thu Oct 17 18:28:24 CST 2024,0.000000
Thu Oct 17 18:28:24 CST 2024,0.000000
Thu Oct 17 18:28:24 CST 2024,-0.100000
Thu Oct 17 18:28:24 CST 2024,-0.100000
Thu Oct 17 18:28:24 CST 2024,0.800000
Thu Oct 17 18:28:25 CST 2024,4.500000
Thu Oct 17 18:28:25 CST 2024,8.600000
Thu Oct 17 18:28:25 CST 2024,12.800000
Thu Oct 17 18:28:25 CST 2024,16.900000
Thu Oct 17 18:28:25 CST 2024,18.800000
Thu Oct 17 18:28:25 CST 2024,17.600000
Thu Oct 17 18:28:25 CST 2024,15.200000
Thu Oct 17 18:28:25 CST 2024,9.700000
Thu Oct 17 18:28:25 CST 2024,4.700000
Thu Oct 17 18:28:25 CST 2024,3.300000
Thu Oct 17 18:28:26 CST 2024,2.800000
Thu Oct 17 18:28:26 CST 2024,1.200000
Thu Oct 17 18:28:26 CST 2024,1.000000
Thu Oct 17 18:28:26 CST 2024,2.100000
Thu Oct 17 18:28:26 CST 2024,7.000000
Thu Oct 17 18:28:26 CST 2024,9.900000
Thu Oct 17 18:28:26 CST 2024,16.900000
Thu Oct 17 18:28:26 CST 2024,20.600000
Thu Oct 17 18:28:26 CST 2024,22.500000
Thu Oct 17 18:28:26 CST 2024,25.000000
Thu Oct 17 18:28:27 CST 2024,26.600000
Thu Oct 17 18:28:27 CST 2024,27.100000
Thu Oct 17 18:28:27 CST 2024,18.400000
Thu Oct 17 18:28:27 CST 2024,11.400000
Thu Oct 17 18:28:27 CST 2024,11.300000
Thu Oct 17 18:28:27 CST 2024,14.700000
Thu Oct 17 18:28:27 CST 2024,15.300000
Thu Oct 17 18:28:27 CST 2024,17.400000
Thu Oct 17 18:28:27 CST 2024,18.100000
Thu Oct 17 18:28:27 CST 2024,18.400000
Thu Oct 17 18:28:28 CST 2024,18.200000
Thu Oct 17 18:28:28 CST 2024,13.900000
Thu Oct 17 18:28:28 CST 2024,0.100000
Thu Oct 17 18:28:28 CST 2024,-10.600000
Thu Oct 17 18:28:28 CST 2024,-16.300000
Thu Oct 17 18:28:28 CST 2024,-7.400000
Thu Oct 17 18:28:28 CST 2024,2.900000
Thu Oct 17 18:28:28 CST 2024,5.900000
Thu Oct 17 18:28:28 CST 2024,10.100000
Thu Oct 17 18:28:28 CST 2024,13.000000
Thu Oct 17 18:28:29 CST 2024,18.300000
Thu Oct 17 18:28:29 CST 2024,20.500000
Thu Oct 17 18:28:29 CST 2024,23.300000
Thu Oct 17 18:28:29 CST 2024,25.500000
Thu Oct 17 18:28:29 CST 2024,17.100000
Thu Oct 17 18:28:29 CST 2024,4.900000
Thu Oct 17 18:28:29 CST 2024,-0.400000
Thu Oct 17 18:28:29 CST 2024,-0.100000
Thu Oct 17 18:28:29 CST 2024,1.700000
Thu Oct 17 18:28:30 CST 2024,1.500000
Thu Oct 17 18:28:30 CST 2024,0.700000
Thu Oct 17 18:28:30 CST 2024,0.200000
Thu Oct 17 18:28:30 CST 2024,0.200000
Thu Oct 17 18:28:30 CST 2024,0.300000
Thu Oct 17 18:28:30 CST 2024,0.000000
Thu Oct 17 18:28:30 CST 2024,0.000000
Thu Oct 17 18:28:30 CST 2024,0.000000
Thu Oct 17 18:28:30 CST 2024,0.000000
Thu Oct 17 18:28:30 CST 2024,0.000000
Thu Oct 17 18:28:31 CST 2024,-0.400000
Thu Oct 17 18:28:31 CST 2024,-0.300000
Thu Oct 17 18:28:31 CST 2024,-1.600000
Thu Oct 17 18:28:31 CST 2024,-4.100000
Thu Oct 17 18:28:31 CST 2024,-6.400000
Thu Oct 17 18:28:31 CST 2024,-8.200000
Thu Oct 17 18:28:31 CST 2024,-9.600000
Thu Oct 17 18:28:31 CST 2024,-10.300000
Thu Oct 17 18:28:31 CST 2024,-5.700000
Thu Oct 17 18:28:31 CST 2024,0.400000
Thu Oct 17 18:28:32 CST 2024,0.000000
Thu Oct 17 18:28:32 CST 2024,0.800000
Thu Oct 17 18:28:32 CST 2024,0.500000
Thu Oct 17 18:28:32 CST 2024,-0.400000
Thu Oct 17 18:28:32 CST 2024,-0.500000
Thu Oct 17 18:28:32 CST 2024,0.200000
Thu Oct 17 18:28:32 CST 2024,0.000000
Thu Oct 17 18:28:32 CST 2024,0.000000
Thu Oct 17 18:28:32 CST 2024,0.200000
Thu Oct 17 18:28:32 CST 2024,0.000000
Thu Oct 17 18:28:33 CST 2024,-0.100000
Thu Oct 17 18:28:33 CST 2024,0.500000
Thu Oct 17 18:28:33 CST 2024,1.900000
Thu Oct 17 18:28:33 CST 2024,3.400000
Thu Oct 17 18:28:33 CST 2024,5.300000
Thu Oct 17 18:28:33 CST 2024,6.300000
Thu Oct 17 18:28:33 CST 2024,7.200000
Thu Oct 17 18:28:33 CST 2024,9.200000
Thu Oct 17 18:28:33 CST 2024,10.900000
Thu Oct 17 18:28:33 CST 2024,11.900000
Thu Oct 17 18:28:34 CST 2024,12.200000
Thu Oct 17 18:28:34 CST 2024,8.800000
Thu Oct 17 18:28:34 CST 2024,4.900000
Thu Oct 17 18:28:34 CST 2024,1.400000
Thu Oct 17 18:28:34 CST 2024,1.300000
Thu Oct 17 18:28:34 CST 2024,2.700000
Thu Oct 17 18:28:34 CST 2024,3.800000
Thu Oct 17 18:28:34 CST 2024,4.500000
Thu Oct 17 18:28:34 CST 2024,4.600000
Thu Oct 17 18:28:34 CST 2024,4.800000
Thu Oct 17 18:28:35 CST 2024,5.000000
Thu Oct 17 18:28:35 CST 2024,4.700000
Thu Oct 17 18:28:35 CST 2024,5.000000
Thu Oct 17 18:28:35 CST 2024,4.900000
Thu Oct 17 18:28:35 CST 2024,5.300000
Thu Oct 17 18:28:35 CST 2024,7.600000
Thu Oct 17 18:28:35 CST 2024,10.000000
Thu Oct 17 18:28:35 CST 2024,12.200000
Thu Oct 17 18:28:35 CST 2024,9.700000
Thu Oct 17 18:28:35 CST 2024,-0.300000
Thu Oct 17 18:28:36 CST 2024,-6.800000
Thu Oct 17 18:28:36 CST 2024,-5.700000
Thu Oct 17 18:28:36 CST 2024,13.300000
Thu Oct 17 18:28:36 CST 2024,23.400000
Thu Oct 17 18:28:36 CST 2024,28.800000
Thu Oct 17 18:28:36 CST 2024,32.900000
Thu Oct 17 18:28:36 CST 2024,39.000000
Thu Oct 17 18:28:36 CST 2024,33.000000
Thu Oct 17 18:28:36 CST 2024,24.600000
Thu Oct 17 18:28:36 CST 2024,25.700000
Thu Oct 17 18:28:37 CST 2024,31.700000
Thu Oct 17 18:28:37 CST 2024,39.100000
Thu Oct 17 18:28:37 CST 2024,44.100000
Thu Oct 17 18:28:37 CST 2024,44.000000
Thu Oct 17 18:28:37 CST 2024,30.400000
Thu Oct 17 18:28:37 CST 2024,29.700000
Thu Oct 17 18:28:37 CST 2024,29.300000
Thu Oct 17 18:28:37 CST 2024,24.200000
Thu Oct 17 18:28:37 CST 2024,15.700000
Thu Oct 17 18:28:37 CST 2024,13.100000
Thu Oct 17 18:28:38 CST 2024,11.700000
Thu Oct 17 18:28:38 CST 2024,10.900000
Thu Oct 17 18:28:38 CST 2024,8.100000
Thu Oct 17 18:28:38 CST 2024,7.000000
Thu Oct 17 18:28:38 CST 2024,-1.700000
Thu Oct 17 18:28:38 CST 2024,-9.600000
Thu Oct 17 18:28:38 CST 2024,-16.200000
Thu Oct 17 18:28:38 CST 2024,-16.100000
Thu Oct 17 18:28:38 CST 2024,-18.200000
Thu Oct 17 18:28:38 CST 2024,-19.300000
Thu Oct 17 18:28:39 CST 2024,-19.000000
Thu Oct 17 18:28:39 CST 2024,1.000000
Thu Oct 17 18:28:39 CST 2024,1.800000
Thu Oct 17 18:28:39 CST 2024,1.000000
Thu Oct 17 18:28:39 CST 2024,-1.200000
Thu Oct 17 18:28:39 CST 2024,-3.900000
Thu Oct 17 18:28:39 CST 2024,-4.000000
Thu Oct 17 18:28:39 CST 2024,-3.800000
Thu Oct 17 18:28:39 CST 2024,0.200000
Thu Oct 17 18:28:40 CST 2024,1.000000
Thu Oct 17 18:28:40 CST 2024,3.200000
Thu Oct 17 18:28:40 CST 2024,2.100000
Thu Oct 17 18:28:40 CST 2024,0.600000
Thu Oct 17 18:28:40 CST 2024,0.500000
Thu Oct 17 18:28:40 CST 2024,1.300000
Thu Oct 17 18:28:40 CST 2024,1.100000
Thu Oct 17 18:28:40 CST 2024,0.900000
Thu Oct 17 18:28:40 CST 2024,0.100000
Thu Oct 17 18:28:40 CST 2024,-0.300000
Thu Oct 17 18:28:41 CST 2024,-0.100000
Thu Oct 17 18:28:41 CST 2024,0.500000
Thu Oct 17 18:28:41 CST 2024,0.100000
Thu Oct 17 18:28:41 CST 2024,0.300000
Thu Oct 17 18:28:41 CST 2024,0.000000
Thu Oct 17 18:28:41 CST 2024,0.500000
Thu Oct 17 18:28:41 CST 2024,2.000000
Thu Oct 17 18:28:41 CST 2024,2.800000
Thu Oct 17 18:28:41 CST 2024,4.500000
Thu Oct 17 18:28:41 CST 2024,5.400000
Thu Oct 17 18:28:42 CST 2024,1.100000
Thu Oct 17 18:28:42 CST 2024,0.700000
Thu Oct 17 18:28:42 CST 2024,2.100000
Thu Oct 17 18:28:42 CST 2024,4.000000
Thu Oct 17 18:28:42 CST 2024,5.200000
Thu Oct 17 18:28:42 CST 2024,8.300000
Thu Oct 17 18:28:42 CST 2024,9.800000
Thu Oct 17 18:28:42 CST 2024,11.400000
Thu Oct 17 18:28:42 CST 2024,7.900000
Thu Oct 17 18:28:42 CST 2024,5.900000
Thu Oct 17 18:28:43 CST 2024,10.800000
Thu Oct 17 18:28:43 CST 2024,19.300000
Thu Oct 17 18:28:43 CST 2024,29.100000
Thu Oct 17 18:28:43 CST 2024,35.600000
Thu Oct 17 18:28:43 CST 2024,42.300000
Thu Oct 17 18:28:43 CST 2024,43.100000
Thu Oct 17 18:28:43 CST 2024,31.500000
Thu Oct 17 18:28:43 CST 2024,26.000000
Thu Oct 17 18:28:43 CST 2024,33.100000
Thu Oct 17 18:28:43 CST 2024,38.800000
Thu Oct 17 18:28:44 CST 2024,40.700000
Thu Oct 17 18:28:44 CST 2024,22.800000
